scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,49,c,0,10,1,9,9,-1.8018568632982443,1.0946713235853602,0.2911070736648596,0.5038312690737804,10.184995112512054,1.7340474840716256,6.7863244962493745,13.583665728774733,11.692740998710773
S1-connector,0.5,50,a,0,10,1,10,9,-1.167792805362014,2.7019540084184577,270.6166707962766,0.2847860709340214,16.02805222010254,,,,11.692740998710773
S1-connector,0.5,50,b,0,10,1,10,9,-7.8317434648475714,3.872118856072306,0.00012340980413240354,0.9428724007192116,11.904665618863831,490.6285291046772,-949.7095812141652,973.5189124518929,11.692740998710773
S1-connector,0.5,50,c,0,10,1,10,9,-1.4308283765664442,1.7371633785676388,1.9058516390929796,0.39330041677490185,12.182806504579625,2.678419838976446,6.93320008470822,17.43241292445103,11.692740998710773
S1-connector,0.5,51,a,0,10,1,9,9,-2.4702577925846914,5.998860060935584,3506.0547466605394,0.13583022966315736,43.22396446443811,,,,11.692740998710773
S1-connector,0.5,51,b,0,10,1,9,9,-6.727686724907414,2.566183566730019,0.000158895607369992,0.9354833477443276,10.803677676384956,605.2538419633108,-1175.4720540762019,1197.0794094289718,11.692740998710773
S1-connector,0.5,51,c,0,10,1,9,9,-1.8268339388809491,1.6601504380493175,0.6973225544066141,0.45025207373167897,11.511208978242546,2.0408703950709994,7.511176506789356,15.511241449695737,11.692740998710773
S1-connector,0.5,20,a,0,10,1,8,9,2.0806551450642705,0.7886435930366125,8103.083368633451,0.07997820489289262,16.25096806539173,156.60536055096787,-290.689898400415,323.19183453119854,11.692740998710773
S1-connector,0.5,20,b,0,10,1,8,9,0.6207124580835157,0.8462634597457416,60.14540694928475,0.24036008709766538,11.334529910786795,25.494065188264873,-38.63291967772871,61.301979499302305,11.692740998710773
S1-connector,0.5,20,c,0,10,1,8,9,-1.8065079440773077,1.840161773432931,0.9172591155044041,0.42816932380340056,12.069026463601734,2.27268964521583,7.614636610941594,16.523416316261873,11.692740998710773
S1-connector,0.5,21,a,0,10,1,8,8,-5.912170174984278,8.390928584336349,49.23865023859867,0.3221065709889373,28.913652049896577,,,,11.692740998710773
S1-connector,0.5,21,b,0,10,1,8,8,-7.528376644773907,4.1498929657190295,0.00012340980415419443,0.8877873106894629,12.298273225103873,382.71225716580375,-737.8039672619027,762.4005137121105,11.692740998710773
S1-connector,0.5,21,c,0,10,1,8,8,-1.973387962142335,1.5582567460422725,0.4200953180534852,0.4776090758917181,11.14806622754045,1.7966607477542913,7.626675869505236,14.669456585575665,11.692740998710773
S1-connector,0.5,22,a,0,10,1,9,7,0.8770497875564749,2.349260219440793,8103.0837674901,0.07964498329876334,31.614037658487458,,,,11.692740998710773
S1-connector,0.5,22,b,0,10,1,9,7,1.4076342961953818,0.6069776507786184,356.2922722246956,0.1749473712515534,11.105717568987554,32.134132162753346,-51.876024144459194,74.08745928243431,11.692740998710773
